ticker,cik
EP,0000887396
EPAC,0000006955
EPC,0001096752
EPM,0001006655
EPRT,0001728951
EPSN,0001726126
EQBK,0001227500
ERAS,0001761918
ERII,0001421517
ESCA,0000033488
ESE,0000866706
ESNT,0001448893
ESOA,0001357971
ESPR,0001434868
ESQ,0001531031
ESRT,0001541401
ETD,0000896156
ETON,0001710340
EU,0001500881
EVC,0001109116
EVCM,0001853145
EVER,0001640428
EVEX,0001823652
EVGO,0001821159
EVH,0001628908
EVI,0000065312
EVLV,0001805385
EVMN,0002044725
EVTC,0001559865
EWCZ,0001856236
EWTX,0001710072
EXFY,0001476840
EXPI,0001495932
EXPO,0000851520
EXTR,0001078271
EYE,0001710155
EYPT,0001314102
FA,0001210677
FATE,0001434316
FBIZ,0001521951
FBK,0001649749
FBLA,0002013639
FBNC,0000811589
FBP,0001057706
FBRT,0001562528
FBYD,0001937987
FC,0000886206
FCAP,0001070296
FCBC,0000859070
FCCO,0000932781
FCF,0000712537
FCFS,0000840489
FCPT,0001650132
FDBC,0001098151
FDMT,0001650648
FDP,0001047340
FEIM,0000039020
FELE,0000038725
FENC,0001211583
FET,0001401257
FF,0001337298
FFAI,0001805521
FFBC,0000708955
FFIC,0000923139
FFIN,0000036029
FG,0001934850
FHTX,0001822462
FIBK,0000860413
FIGS,0001846576
FIHL,0001636639
FINW,0001856365
FIP,0001899883
FISI,0000862831
FIVN,0001288847
FIZZ,0000069891
FLG,0000910073
FLGT,0001674930
FLNC,0001868941
FLNG,0001772253
FLOC,0002035149
FLR,0001124198
FLWS,0001084869
FLXS,0000037472
FLY,0001860160
FLYW,0001580560
FMAO,0000792966
FMBH,0000700565
FMNB,0000709337
FN,0001408710
FNKO,0001704711
FNLC,0000765207
FNWD,0000919864
FOA,0001828937
FOR,0001406587
FORM,0001039399
FORR,0001023313
FOXF,0001424929
FPI,0001591670
FRAF,0000723646
FRBA,
FRD,0000039092
FRME,0000712534
FRPH,0000844059
FRSH,0001544522
FRST,0001325670
FSBC,0001275168
FSBW,0001530249
FSLY,0001517413
FSP,0001031316
FSS,0000277509
FSTR,0000352825
FSUN,0001709442
FTDR,0001727263
FTK,0000928054
FTLF,0001374328
FTRE,0001965040
FUBO,0001484769
FUL,0000039368
FULC,0001680581
FULT,0000700564
FUN,0001999001
FUNC,0000763907
FVCB,0001675644
FVR,0001988494
FWRD,0000912728
FWRG,0001789940
FXNC,0000719402
GABC,0000714395
GAIA,0001089872
GAMB,0001839799
GATX,0000040211
GBCI,0000868671
GBFH,0001791145
GBTG,0001820872
GBX,0000923120
GCBC,0001070524
GCMG,0001819796
GCO,0000018498
GCT,0001857816
GDOT,0001386278
GDYN,0001743725
GEF,0000043920
GEFB,
GENC,0000064472
GENI,0001834489
GEO,0000923796
GERN,0000886744
GETY,0001898496
GEVO,0001392380
GFF,0000050725
GH,0001576280
GHC,0000104889
GHM,0000716314
GIC,0000945114
GIII,0000821002
GKOS,0001192448
GLNG,0001207179
GLRE,0001385613
GLSI,0001799788
GLUE,0001826457
GNE,0001528356
GNK,0001326200
GNL,0001526113
GNW,0001276520
GO,0001771515
GOCO,0001808220
GOGO,0001537054
GOLD,0001591588
GOLF,0001672013
GOOD,0001234006
GOSS,0001728117
GPGI,0001823144
GPI,0001031203
GPOR,0000874499
GPRE,0001309402
GRAL,0001699031
GRBK,0001373670
GRC,0000042682
GRDN,0001802255
GRND,0001820144
GRNT,0001928446
GRPN,0001490281
GSAT,0001366868
GSBC,0000854560
GSHD,0001726978
GSM,0001639877
GT,0000042582
GTLS,0000892553
GTN,0000043196
GTX,0001735707
GTXI,
GTY,0001052752
GVA,0000861459
GWRS,0001434728
GYRE,0001124105
HAE,0000313143
HAFC,0001109242
HAIN,0000910406
HASI,0001561894
HBB,0001709164
HBCP,0001436425
HBNC,0000706129
HBT,0000775215
HCAT,0001636422
HCC,0001691303
HCI,0001400810
HCKT,0001057379
HCSG,0000731012
HDSN,0000925528
HE,0000354707
HELE,0000916789
HFFG,0001680873
HFWA,0001046025
HG,0001593275
HGV,0001674168
HIFS,0001934563
HIMS,0001773751
HIPO,0001828105
HL,0000719413
HLF,0001180262
HLIO,0001024795
HLIT,0000851310
HLLY,0001822928
HLMN,0001822492
HLX,0000866829
HMN,0000850141
HNI,0000048287
HNRG,0000788965
HNST,0001530979
HNVR,0001828588
HOMB,0001331520
HOPE,0001128361
HOV,0000357294
HP,0000046765
HPK,0001792849
HPP,0001482512
HQI,0001140102
HQY,0001428336
HRI,0001364479
HRMY,0001802665
HROW,0001360214
HRTG,0001598665
HRTX,0000818033
HSHP,0001959455
HSTM,0001095565
HTB,0001538263
HTFL,0001464521
HTH,0001265131
HTLD,0000799233
HTO,0000766829
HTZ,0001657853
HUBG,0000940942
HUMA,0001818382
HURA,0001498382
HURN,0001289848
HUT,0001964789
HVT,0000216085
HWBK,0000893847
HWC,0000750577
HWKN,0000046250
HY,0001173514
HYLN,0001759631
HZO,0001057060
IART,0000917520
IBCP,0000039311
IBEX,0001720420
IBOC,0000315709
IBP,0001580905
IBRX,0001326110
IBTA,0001538379
ICFI,0001362004
ICHR,0001652535
ICUI,0000883984
IDCC,0001405495
IDR,0001030192
IDT,0001005731
IDYA,0001676725
IE,0001879016
IESC,0001048268
IHRT,0001400891
III,0001371489
IIIN,0000764401
IIIV,0001728688
IIPR,0001677576
IKT,0001750149
ILPT,0001717307
IMAX,0000921582
IMKTA,0000050493
IMMR,0001058811
IMNM,0001472012
IMVT,0001764013
IMXI,0001683695
INBK,0001562463
INBX,0002007919
INDB,0000776901
INDI,0001841925
INDV,0001625297
INGN,0001294133
INH,0001909688
INMB,0001711754
INN,0001497645
INNV,0001834376
INOD,0000903651
INR,0002029118
INSE,0001615063
INSG,0001022652
INSW,0001679049
INTA,0001565687
INV,0002001557
INVA,0001080014
INVX,0001042893
IONQ,0001824920
IOSP,0001054905
IOVA,0001425205
IPAR,0000822663
IPI,0001421461
IRMD,0001325618
IRON,0001816736
IRT,0001466085
IRTC,0001388658
IRWD,0001446847
ISPR,0001948455
ISTR,0001602658
ITGR,0001114483
ITIC,0000720858
ITRI,0000780571
IVR,0001437071
IVT,0001307748
JACK,0000807882
JAKK,0001009829
JANX,0001817713
JBGS,0001689796
JBI,0001839839
JBIO,0001798749
JBLU,0001158463
JBSS,0000880117
JBTM,0001433660
JCAP,0002046042
JELD,0001674335
