date,ticker,open,high,low,close,volume,_errors
1997-09-03,VHI,-363.41,-366.0,-360.81,-360.81,4441,open below minimum: -363.41; high below minimum: -366.0; low below minimum: -360.81; close below minimum: -360.81
1997-09-04,VHI,-363.41,-368.6,-363.41,-366.0,5050,open below minimum: -363.41; high below minimum: -368.6; low below minimum: -363.41; close below minimum: -366.0
1997-09-05,VHI,-368.6,-368.6,-366.0,-366.0,3285,open below minimum: -368.6; high below minimum: -368.6; low below minimum: -366.0; close below minimum: -366.0
1997-09-08,VHI,-366.0,-373.79,-366.0,-366.0,4502,open below minimum: -366.0; high below minimum: -373.79; low below minimum: -366.0; close below minimum: -366.0
1997-09-09,VHI,-366.0,-373.79,-366.0,-373.79,10769,open below minimum: -366.0; high below minimum: -373.79; low below minimum: -366.0; close below minimum: -373.79
1997-09-10,VHI,-375.88,-383.71,-373.27,-381.1,7484,open below minimum: -375.88; high below minimum: -383.71; low below minimum: -373.27; close below minimum: -381.1
1997-09-11,VHI,-375.88,-375.88,-370.66,-370.66,6632,open below minimum: -375.88; high below minimum: -375.88; low below minimum: -370.66; close below minimum: -370.66
1997-09-12,VHI,-370.66,-375.88,-370.66,-373.27,9370,open below minimum: -370.66; high below minimum: -375.88; low below minimum: -370.66; close below minimum: -373.27
1997-09-15,VHI,-373.27,-375.88,-370.66,-373.27,2738,open below minimum: -373.27; high below minimum: -375.88; low below minimum: -370.66; close below minimum: -373.27
1997-09-16,VHI,-370.66,-386.32,-370.66,-378.49,6814,open below minimum: -370.66; high below minimum: -386.32; low below minimum: -370.66; close below minimum: -378.49
1997-09-17,VHI,-378.49,-383.71,-378.49,-381.1,4441,open below minimum: -378.49; high below minimum: -383.71; low below minimum: -378.49; close below minimum: -381.1
1997-09-18,VHI,-381.1,-381.1,-375.88,-375.88,9065,open below minimum: -381.1; high below minimum: -381.1; low below minimum: -375.88; close below minimum: -375.88
1997-09-19,VHI,-370.66,-378.49,-370.66,-378.49,3590,open below minimum: -370.66; high below minimum: -378.49; low below minimum: -370.66; close below minimum: -378.49
1997-09-22,VHI,-378.49,-378.49,-375.88,-375.88,4563,open below minimum: -378.49; high below minimum: -378.49; low below minimum: -375.88; close below minimum: -375.88
1997-09-23,VHI,-373.27,-375.88,-370.66,-373.27,10769,open below minimum: -373.27; high below minimum: -375.88; low below minimum: -370.66; close below minimum: -373.27
1997-09-24,VHI,-373.27,-375.88,-370.66,-375.88,15636,open below minimum: -373.27; high below minimum: -375.88; low below minimum: -370.66; close below minimum: -375.88
1997-09-25,VHI,-375.88,-375.88,-375.88,-375.88,730,open below minimum: -375.88; high below minimum: -375.88; low below minimum: -375.88; close below minimum: -375.88
1997-09-26,VHI,-375.88,-378.49,-373.27,-378.49,7484,open below minimum: -375.88; high below minimum: -378.49; low below minimum: -373.27; close below minimum: -378.49
1997-09-29,VHI,-375.88,-375.88,-373.27,-373.27,3042,open below minimum: -375.88; high below minimum: -375.88; low below minimum: -373.27; close below minimum: -373.27
1997-09-30,VHI,-373.27,-381.1,-373.27,-375.88,13629,open below minimum: -373.27; high below minimum: -381.1; low below minimum: -373.27; close below minimum: -375.88
1997-10-01,VHI,-378.49,-381.1,-375.88,-381.1,9431,open below minimum: -378.49; high below minimum: -381.1; low below minimum: -375.88; close below minimum: -381.1
1997-10-02,VHI,-381.1,-383.71,-381.1,-383.71,3225,open below minimum: -381.1; high below minimum: -383.71; low below minimum: -381.1; close below minimum: -383.71
1997-10-03,VHI,-381.1,-422.86,-381.1,-422.86,17705,open below minimum: -381.1; high below minimum: -422.86; low below minimum: -381.1; close below minimum: -422.86
1997-10-06,VHI,-417.64,-417.64,-404.59,-412.42,17888,open below minimum: -417.64; high below minimum: -417.64; low below minimum: -404.59; close below minimum: -412.42
1997-10-07,VHI,-412.42,-438.53,-412.42,-438.53,18435,open below minimum: -412.42; high below minimum: -438.53; low below minimum: -412.42; close below minimum: -438.53
1997-10-08,VHI,-443.75,-462.02,-441.14,-462.02,32855,open below minimum: -443.75; high below minimum: -462.02; low below minimum: -441.14; close below minimum: -462.02
1997-10-09,VHI,-464.63,-480.29,-441.14,-441.14,36140,open below minimum: -464.63; high below minimum: -480.29; low below minimum: -441.14; close below minimum: -441.14
1997-10-10,VHI,-425.48,-438.53,-425.48,-433.31,18009,open below minimum: -425.48; high below minimum: -438.53; low below minimum: -425.48; close below minimum: -433.31
1997-10-13,VHI,-438.53,-441.14,-433.31,-433.31,8214,open below minimum: -438.53; high below minimum: -441.14; low below minimum: -433.31; close below minimum: -433.31
1997-10-14,VHI,-433.31,-433.31,-415.03,-415.03,24702,open below minimum: -433.31; high below minimum: -433.31; low below minimum: -415.03; close below minimum: -415.03
1997-10-15,VHI,-412.42,-412.42,-399.37,-399.37,6388,open below minimum: -412.42; high below minimum: -412.42; low below minimum: -399.37; close below minimum: -399.37
1997-10-16,VHI,-399.37,-399.37,-386.32,-386.32,15393,open below minimum: -399.37; high below minimum: -399.37; low below minimum: -386.32; close below minimum: -386.32
1997-10-17,VHI,-381.1,-383.71,-375.88,-378.49,17523,open below minimum: -381.1; high below minimum: -383.71; low below minimum: -375.88; close below minimum: -378.49
1997-10-20,VHI,-383.71,-399.37,-383.71,-396.76,12290,open below minimum: -383.71; high below minimum: -399.37; low below minimum: -383.71; close below minimum: -396.76
1997-10-21,VHI,-396.76,-399.37,-396.76,-396.76,3468,open below minimum: -396.76; high below minimum: -399.37; low below minimum: -396.76; close below minimum: -396.76
1997-10-22,VHI,-399.37,-407.2,-399.37,-407.2,4016,open below minimum: -399.37; high below minimum: -407.2; low below minimum: -399.37; close below minimum: -407.2
1997-10-23,VHI,-404.59,-404.59,-401.98,-401.98,548,open below minimum: -404.59; high below minimum: -404.59; low below minimum: -401.98; close below minimum: -401.98
1997-10-24,VHI,-399.37,-404.59,-399.37,-399.37,4076,open below minimum: -399.37; high below minimum: -404.59; low below minimum: -399.37; close below minimum: -399.37
1997-10-27,VHI,-396.76,-399.37,-386.32,-386.32,15089,open below minimum: -396.76; high below minimum: -399.37; low below minimum: -386.32; close below minimum: -386.32
1997-10-28,VHI,-381.1,-394.15,-378.49,-388.93,17097,open below minimum: -381.1; high below minimum: -394.15; low below minimum: -378.49; close below minimum: -388.93
1997-10-29,VHI,-391.54,-391.54,-383.71,-383.71,8518,open below minimum: -391.54; high below minimum: -391.54; low below minimum: -383.71; close below minimum: -383.71
1997-10-30,VHI,-378.49,-381.1,-378.49,-381.1,8640,open below minimum: -378.49; high below minimum: -381.1; low below minimum: -378.49; close below minimum: -381.1
1997-10-31,VHI,-378.49,-383.71,-378.49,-383.71,8700,open below minimum: -378.49; high below minimum: -383.71; low below minimum: -378.49; close below minimum: -383.71
1997-11-03,VHI,-381.1,-396.76,-381.1,-396.76,4624,open below minimum: -381.1; high below minimum: -396.76; low below minimum: -381.1; close below minimum: -396.76
1997-11-04,VHI,-391.54,-401.98,-388.93,-396.76,4441,open below minimum: -391.54; high below minimum: -401.98; low below minimum: -388.93; close below minimum: -396.76
1997-11-05,VHI,-396.76,-396.76,-391.54,-394.15,7666,open below minimum: -396.76; high below minimum: -396.76; low below minimum: -391.54; close below minimum: -394.15
1997-11-06,VHI,-394.15,-394.15,-394.15,-394.15,61,open below minimum: -394.15; high below minimum: -394.15; low below minimum: -394.15; close below minimum: -394.15
