date,ticker,open,high,low,close,volume,_errors
2021-01-04,DEC,0.0,0.0,0.0,0.0,21100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-20,DEC,0.0,0.0,0.0,0.0,36700,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-21,DEC,0.0,0.0,0.0,0.0,200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-22,DEC,0.0,0.0,0.0,0.0,25600,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-23,DEC,0.0,0.0,0.0,0.0,1900,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-26,DEC,0.0,0.0,0.0,0.0,15900,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-27,DEC,0.0,0.0,0.0,0.0,5800,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-28,DEC,0.0,0.0,0.0,0.0,2000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-04-30,DEC,0.0,0.0,0.0,0.0,22300,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-03,DEC,0.0,0.0,0.0,0.0,1700,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-04,DEC,0.0,0.0,0.0,0.0,25700,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-05,DEC,0.0,0.0,0.0,0.0,6300,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-06,DEC,0.0,0.0,0.0,0.0,1700,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-07,DEC,0.0,0.0,0.0,0.0,1300,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-10,DEC,0.0,0.0,0.0,0.0,11200,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-11,DEC,0.0,0.0,0.0,0.0,500,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-12,DEC,0.0,0.0,0.0,0.0,4000,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-13,DEC,0.0,0.0,0.0,0.0,4100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-14,DEC,0.0,0.0,0.0,0.0,9100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-17,DEC,0.0,0.0,0.0,0.0,14100,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
2021-05-19,DEC,0.0,0.0,0.0,0.0,2900,open below minimum: 0.0; high below minimum: 0.0; low below minimum: 0.0; close below minimum: 0.0
